	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_364_3.txt	364	3	24.50408	23.30144	22.98735	22.48492	23.82399	24.08843	22.58723	22.71573	22.63909	23.74449	25.68736	23.44099	23.86125	22.74966	25.68676	24.5874	23.94949	25.67358	26.70029	24.54551	24.5586	24.29346	24.1967	25.82031	24.99958	22.26539	24.22726	25.65921	20.60867	20.69014
alpha_rarefaction_364_4.txt	364	4	25.76998	23.68549	22.50724	23.10431	22.3541	24.07153	24.45689	23.30135	23.19638	23.05417	24.54442	23.9344	25.22067	21.29293	22.80155	26.71177	22.84468	25.28075	23.00136	23.58069	26.85705	22.53981	24.55089	26.15084	24.48963	24.77098	23.07623	23.99172	22.62556	23.05881
alpha_rarefaction_364_5.txt	364	5	26.1215	23.48639	23.20736	22.39019	23.19755	21.90577	23.67193	23.74503	23.38939	24.14896	24.78521	24.25198	25.51825	22.23836	23.55625	26.32521	23.375	25.37684	24.92318	25.09003	26.11945	22.60048	24.36388	26.79835	25.43809	25.83054	23.29341	24.58355	24.48816	20.85
alpha_rarefaction_364_6.txt	364	6	25.92191	23.65339	23.62802	24.39745	21.46521	22.00821	22.56384	22.81853	22.4595	23.13223	25.26797	25.04706	24.30003	21.35855	24.09026	24.65249	23.72844	25.08743	25.94738	24.16253	25.65272	22.63853	23.16019	24.75018	24.85799	23.96356	24.86645	24.4923	22.74511	20.88474
alpha_rarefaction_364_7.txt	364	7	27.30331	23.06536	24.39219	25.60067	23.1867	24.11559	23.08204	23.47053	24.78982	22.79958	25.64008	24.24998	26.04678	22.14254	24.39615	26.01322	24.41059	24.58557	25.11241	24.22744	24.88411	23.51337	23.38263	27.02209	26.34828	25.48461	25.06312	24.54126	22.02246	21.8224
alpha_rarefaction_364_8.txt	364	8	24.10434	25.52578	23.42198	22.68026	23.34842	24.18393	23.32542	22.77931	23.31064	25.18232	24.83797	25.21888	25.70351	22.56643	24.03838	25.1203	22.93696	24.94726	24.89547	24.6108	25.18879	22.5983	22.53291	26.7909	26.05416	23.49726	25.6455	25.12653	23.29368	21.36224
alpha_rarefaction_364_9.txt	364	9	23.38167	24.09584	23.31701	23.82912	24.48549	23.10993	22.80821	23.29937	21.74584	21.42066	25.02825	26.86032	24.83174	23.34576	24.35063	25.32192	23.71456	24.17179	24.75339	24.55426	24.71061	23.89528	23.39282	25.50506	24.78162	23.75293	24.0001	25.17328	22.8865	22.91796
alpha_rarefaction_423_0.txt	423	0	28.92105	26.93923	27.21789	26.5283	25.75998	25.80744	25.17992	26.25606	25.6121	25.30515	29.29029	26.1559	26.72368	25.94734	25.31506	27.42764	25.4852	25.38572	27.05558	25.38447	27.81033	25.11873	25.10871	28.83204	26.73729	26.36719	24.64297	26.32442	23.85502	24.20296
alpha_rarefaction_423_1.txt	423	1	29.17372	25.40563	25.9256	24.86649	24.48298	26.68201	24.64783	24.84565	24.85788	27.74432	26.54544	29.0433	26.47994	25.55232	29.03051	27.86903	25.31755	25.82093	26.6852	28.13502	27.25303	23.81838	25.0805	27.09019	26.10978	27.89752	25.97772	26.71525	24.35545	22.81479
alpha_rarefaction_423_2.txt	423	2	27.286	26.42764	24.14488	25.71895	24.80125	25.37285	24.9625	25.79052	24.14061	23.72475	27.65796	26.80729	26.13687	24.86212	26.42121	26.89401	25.31367	27.5464	26.62097	25.94572	27.49573	26.08543	25.36499	27.88223	27.36676	25.42838	24.74464	26.67882	25.25067	22.68512
alpha_rarefaction_423_3.txt	423	3	28.0251	25.57738	25.72395	22.80503	25.96679	25.57311	25.13134	24.4211	25.50638	24.86797	26.66307	25.85848	28.22199	24.97672	25.09612	27.21944	25.42896	26.25544	27.57932	26.60991	27.15096	24.90082	26.75884	27.71929	27.23301	25.84843	25.85065	25.67781	25.09223	21.64668
